source_number,kota_asal,kota_tujuan,tarif_bisnis_sumber,tarif_ekonomi_sumber
150,DENPASAR,JAYAPURA,11680000,7325000
151,DENPASAR,KUPANG,5091000,3159000
152,DENPASAR,MAKASSAR,4182000,2816000
153,DENPASAR,MANADO,7851000,4578000
154,DENPASAR,MATARAM,1840000,1488000
155,DENPASAR,MEDAN,10589000,5658000
156,DENPASAR,PADANG,9049000,4888000
157,DENPASAR,PALANGKARAYA,8557000,4909000
158,DENPASAR,PALEMBANG,7541000,4278000
159,DENPASAR,PEKANBARU,9092000,4942000
160,DENPASAR,PONTIANAK,7990000,4738000
161,DENPASAR,TIMIKA,10140000,6559000
162,JAMBI,BALIKPAPAN,7733000,4407000
163,JAMBI,BANJARMASIN,7690000,4193000
164,JAMBI,DENPASAR,7733000,4439000
165,JAMBI,YOGYAKARTA,6653000,3551000
166,JAMBI,KUPANG,11434000,6075000
167,JAMBI,MAKASSAR,9659000,4952000
168,JAMBI,MALANG,7091000,3925000
169,JAMBI,MANADO,12707000,6097000
170,JAMBI,PALANGKARAYA,7444000,4193000
171,JAMBI,PONTIANAK,6878000,4011000
172,JAMBI,SEMARANG,6428000,3476000
173,JAMBI,SOLO,6428000,3615000
174,JAMBI,SURABAYA,7883000,3915000
175,JAYAPURA,YOGYAKARTA,13274000,7690000
176,JAYAPURA,MANADO,22109000,11263000
177,JAYAPURA,MEDAN,18932000,10097000
178,JAYAPURA,PADANG,17381000,9327000
179,JAYAPURA,PALEMBANG,15873000,8717000
180,JAYAPURA,PEKANBARU,17435000,9380000
181,JAYAPURA,PONTIANAK,16322000,9177000
182,JAYAPURA,TIMIKA,3615000,2289000
183,YOGYAKARTA,DENPASAR,3861000,2655000
184,YOGYAKARTA,MAKASSAR,6525000,3893000
185,YOGYAKARTA,MANADO,10536000,5722000
186,YOGYAKARTA,MEDAN,9519000,4770000
187,YOGYAKARTA,PADANG,7969000,4280000
188,YOGYAKARTA,PALEMBANG,6460000,3617000
189,YOGYAKARTA,PEKANBARU,8022000,4054000
190,YOGYAKARTA,PONTIANAK,6910000,3840000
191,YOGYAKARTA,TIMIKA,11894000,7114000
192,KENDARI,BANDA ACEH,12953000,7102000
193,KENDARI,BATAM,10568000,5658000
194,KENDARI,DENPASAR,5455000,3503000
195,KENDARI,YOGYAKARTA,8129000,4706000
196,KENDARI,PADANG,11167000,5722000
197,KENDARI,PALEMBANG,9659000,5102000
198,KENDARI,PEKANBARU,11220000,5776000
199,KENDARI,SEMARANG,9659000,5027000
200,KENDARI,SOLO,9659000,5166000
201,KENDARI,SURABAYA,11103000,5466000
202,KENDARI,TIMIKA,18633000,9798000
203,KUPANG,JAYAPURA,14386000,8676000
204,KUPANG,YOGYAKARTA,7348000,4182000
205,KUPANG,MAKASSAR,7637000,4311000
206,KUPANG,MANADO,11648000,6140000
207,KUPANG,SURABAYA,6749000,3983000
208,MAKASSAR,BIAK,8493000,4931000
209,MAKASSAR,JAYAPURA,10193000,6193000
210,MAKASSAR,KENDARI,2663000,1912000
211,MAKASSAR,MANADO,5327000,2909000
212,MAKASSAR,TIMIKA,11723000,7027000
213,MALANG,BALIKPAPAN,10108000,5134000
214,MALANG,BANDA ACEH,10204000,5765000
215,MALANG,BANJARMASIN,8161000,4407000
216,MALANG,BATAM,7819000,4311000
217,MALANG,BIAK,16087000,8482000
218,MALANG,JAYAPURA,16536000,9092000
219,MALANG,KENDARI,10322000,5487000
220,MALANG,MAKASSAR,10129000,5166000
221,MALANG,MANADO,13167000,6311000
222,MALANG,MEDAN,9958000,5145000
223,MALANG,PADANG,8418000,4385000
224,MALANG,PALANGKARAYA,7915000,4407000
225,MALANG,PALEMBANG,6899000,3765000
226,MALANG,PEKANBARU,8461000,4439000
227,MALANG,TIMIKA,15873000,8461000
228,MANADO,MEDAN,15552000,7316000
229,MANADO,PADANG,14012000,6546000
230,MANADO,PALEMBANG,12504000,5926000
231,MANADO,PEKANBARU,14055000,6599000
232,MANADO,PONTIANAK,12953000,6396000
233,MANADO,SEMARANG,12504000,5851000
234,MANADO,SOLO,12504000,5990000
235,MANADO,SURABAYA,9937000,5262000
236,MANADO,TIMIKA,16183000,8995000
237,MATARAM,BALIKPAPAN,10750000,5615000
238,MATARAM,BANDA ACEH,10846000,6246000
239,MATARAM,BANJARMASIN,8803000,4888000
240,MATARAM,BATAM,8461000,4803000
241,MATARAM,BIAK,11552000,6546000
242,MATARAM,JAYAPURA,13092000,7575000
243,MATARAM,YOGYAKARTA,4417000,2968000
244,MATARAM,MAKASSAR,4717000,3113000
245,MATARAM,MANADO,8717000,5070000
246,MATARAM,MEDAN,10600000,5637000
247,MATARAM,PADANG,9060000,4867000
248,MATARAM,PALEMBANG,7551000,4246000
249,MATARAM,PEKANBARU,9102000,4909000
250,MATARAM,PONTIANAK,8001000,4706000
251,MATARAM,SURABAYA,3829000,2484000
252,MEDAN,BANDA ACEH,3466000,2347000
253,MEDAN,MAKASSAR,12514000,6172000
254,MEDAN,PONTIANAK,9733000,5230000
255,MEDAN,SEMARANG,9284000,4696000
256,MEDAN,SOLO,9284000,4835000
257,MEDAN,SURABAYA,10739000,5134000
258,MEDAN,TIMIKA,18258000,9455000
259,PADANG,MAKASSAR,10974000,5402000
260,PADANG,PONTIANAK,8193000,4460000
261,PADANG,SEMARANG,7744000,3925000
262,PADANG,SOLO,7744000,4065000
263,PADANG,SURABAYA,9199000,4364000
264,PADANG,TIMIKA,16718000,8685000
265,PALANGKARAYA,BANDA ACEH,10546000,6022000
266,PALANGKARAYA,BATAM,8161000,4578000
267,PALANGKARAYA,YOGYAKARTA,7477000,4304000
268,PALANGKARAYA,MATARAM,8557000,4888000
269,PALANGKARAYA,MEDAN,10300000,5412000
270,PALANGKARAYA,PADANG,8760000,4642000
271,PALANGKARAYA,PALEMBANG,7252000,4022000
272,PALANGKARAYA,PEKANBARU,8803000,4696000
273,PALANGKARAYA,SEMARANG,7252000,3947000
274,PALANGKARAYA,SOLO,7252000,4086000
275,PALANGKARAYA,SURABAYA,8696000,4385000
276,PALEMBANG,BALIKPAPAN,9894000,5220000
277,PALEMBANG,MAKASSAR,9466000,4781000
278,PALEMBANG,PONTIANAK,6685000,3840000
279,PALEMBANG,SEMARANG,6236000,3305000
280,PALEMBANG,SOLO,6236000,3444000
281,PALEMBANG,SURABAYA,7690000,3744000
282,PALEMBANG,TIMIKA,15210000,8076000
283,PALU,MAKASSAR,4268000,2578000
284,PALU,POSO,1957000,1423000
285,PALU,SORONG,6878000,4155000
286,PALU,SURABAYA,6878000,3883000
287,PALU,TOLI-TOLI,2941000,1915000
288,PANGKAL PINANG,BALIKPAPAN,9038000,4631000
289,PANGKAL PINANG,BANJARMASIN,7091000,3915000
290,PANGKAL PINANG,BATAM,6739000,3818000
291,PANGKAL PINANG,YOGYAKARTA,6065000,3262000
292,PANGKAL PINANG,MAKASSAR,9060000,4663000
293,PANGKAL PINANG,MANADO,12097000,5808000
294,PANGKAL PINANG,MEDAN,8888000,4653000
295,PANGKAL PINANG,PADANG,7337000,3883000
296,PANGKAL PINANG,PALEMBANG,5829000,3262000
297,PANGKAL PINANG,PEKANBARU,7391000,3936000
298,PANGKAL PINANG,PONTIANAK,6279000,3733000
299,PANGKAL PINANG,SEMARANG,5829000,3187000
300,PANGKAL PINANG,SOLO,5829000,3326000
301,PANGKAL PINANG,SURABAYA,7284000,3626000
302,PEKANBARU,PONTIANAK,8247000,4514000
303,PEKANBARU,SEMARANG,7797000,3979000
304,PEKANBARU,SOLO,7797000,4118000
305,PEKANBARU,SURABAYA,9241000,4407000
306,PEKANBARU,TIMIKA,16771000,8739000
307,PONTIANAK,MAKASSAR,9915000,5241000
308,PONTIANAK,SEMARANG,6685000,3765000
309,PONTIANAK,SOLO,6685000,3904000
310,PONTIANAK,SURABAYA,8140000,4204000
311,PONTIANAK,TIMIKA,15659000,8535000
312,SEMARANG,MAKASSAR,9466000,4706000
313,SOLO,MAKASSAR,9466000,4845000
314,SURABAYA,DENPASAR,3198000,2118000
315,SURABAYA,JAYAPURA,12675000,7250000
316,SURABAYA,MAKASSAR,5936000,3674000
317,SURABAYA,TIMIKA,11295000,6589000
